fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7741935483870968,0.7735042735042735,0.7751493428912785,0.7734924681537619,0.1678605079650879,6,"[1, 2, 3, 9, 11, 13]"
2,0.5806451612903226,0.6068376068376068,0.5745103987595646,0.5847053462046862,0.18459057807922363,6,"[2, 3, 9, 11, 12, 13]"
3,0.7333333333333333,0.736111111111111,0.7357466063348416,0.7359800721939872,0.17571091651916504,6,"[1, 2, 3, 9, 11, 13]"
4,0.6333333333333333,0.638888888888889,0.6370370370370371,0.6382847385042254,0.21625018119812012,6,"[3, 4, 9, 10, 12, 13]"
5,0.6,0.5694444444444444,0.5923444976076555,0.5485671571703195,0.17362523078918457,6,"[1, 2, 3, 5, 11, 13]"
6,0.8666666666666667,0.8611111111111112,0.8666666666666667,0.8606629658238704,0.17176151275634766,6,"[1, 2, 3, 11, 12, 13]"
7,0.8,0.7777777777777777,0.7961722488038276,0.769800358919501,0.17902088165283203,6,"[3, 4, 9, 11, 12, 13]"
8,0.6666666666666666,0.6944444444444444,0.6666666666666666,0.6804138174397717,0.21373558044433594,6,"[2, 3, 9, 11, 12, 13]"
9,0.7,0.6805555555555556,0.6975323149236193,0.6735753140545634,0.1874842643737793,6,"[1, 2, 3, 9, 11, 13]"
10,0.7333333333333333,0.7375565610859728,0.7345238095238095,0.7368761261836121,0.17610645294189453,6,"[1, 2, 3, 11, 12, 13]"
