fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6103896103896104,0.6318518518518519,0.6187840886883295,0.627753195192246,0.1580519676208496,3,"[2, 6, 8]"
2,0.7662337662337663,0.7627551020408163,0.7690522243713733,0.762648446573665,0.1660001277923584,3,"[2, 6, 8]"
3,0.6493506493506493,0.6573076923076924,0.6602292472202573,0.6569158709747098,0.15999984741210938,3,"[1, 2, 6]"
4,0.7922077922077922,0.8,0.8000430941607412,0.7997933617426463,0.16000008583068848,3,"[1, 2, 6]"
5,0.7142857142857143,0.7295918367346939,0.7196969696969696,0.727430078392719,0.14400005340576172,3,"[1, 2, 6]"
6,0.6753246753246753,0.6742424242424243,0.6766532700036536,0.674199862463242,0.1880021095275879,3,"[1, 2, 6]"
7,0.8051948051948052,0.8244444444444444,0.8094762380476666,0.8219218670625302,0.14859533309936523,3,"[1, 2, 6]"
8,0.7402597402597403,0.7271929824561403,0.7521032426692804,0.7266843712634781,0.1540541648864746,3,"[1, 2, 6]"
9,0.6973684210526315,0.7043010752688172,0.6999577256393996,0.7032948570222723,0.16300010681152344,3,"[1, 2, 6]"
10,0.6842105263157895,0.6969009826152683,0.6909389952153111,0.6955207079430681,0.1519618034362793,3,"[2, 6, 8]"
