fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6233766233766234,0.6418518518518519,0.5671641791044776,0.6388647338428911,0.22141432762145996,3,"[2, 6, 8]"
2,0.7662337662337663,0.770408163265306,0.7096774193548387,0.7702561006843109,0.22478294372558594,3,"[2, 6, 8]"
3,0.6493506493506493,0.6573076923076924,0.5573770491803278,0.6569158709747098,0.27197909355163574,3,"[1, 2, 6]"
4,0.7792207792207793,0.790909090909091,0.6792452830188679,0.7904387316103331,0.21288466453552246,3,"[1, 2, 6]"
5,0.7142857142857143,0.7295918367346939,0.6666666666666666,0.727430078392719,0.21245360374450684,3,"[1, 2, 6]"
6,0.6753246753246753,0.6742424242424243,0.6376811594202898,0.674199862463242,0.22118830680847168,3,"[1, 2, 6]"
7,0.8181818181818182,0.8344444444444444,0.7741935483870968,0.8326663997864531,0.20741701126098633,3,"[1, 2, 6]"
8,0.7402597402597403,0.7271929824561403,0.5833333333333334,0.7266843712634781,0.21085643768310547,3,"[1, 2, 6]"
9,0.6973684210526315,0.7043010752688172,0.6666666666666666,0.7032948570222723,0.22390437126159668,3,"[1, 2, 6]"
10,0.6710526315789473,0.6783824640967498,0.6031746031746031,0.6779097302877023,0.26804661750793457,3,"[2, 6, 8]"
