fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7012987012987013,0.7444444444444445,0.7064688238962803,0.7302967433402214,0.05182623863220215,5,"[1, 2, 6, 7, 8]"
2,0.7402597402597403,0.7403703703703703,0.7449571704890854,0.7403702777314526,0.04983353614807129,5,"[1, 2, 6, 7, 8]"
3,0.7272727272727273,0.7303703703703703,0.7326570837940484,0.7302967433402214,0.04983329772949219,5,"[1, 2, 6, 7, 8]"
4,0.8441558441558441,0.8374074074074074,0.8453485290219985,0.8371025867483272,0.04983329772949219,4,"[1, 2, 6, 7]"
5,0.7532467532467533,0.7674074074074074,0.7586699015270445,0.7659416862050704,0.049833059310913086,5,"[1, 2, 6, 7, 8]"
6,0.7662337662337663,0.7859259259259259,0.7715097402597403,0.7831560082980487,0.04983258247375488,5,"[1, 2, 6, 7, 8]"
7,0.7532467532467533,0.7418518518518519,0.7559244878832507,0.7408703590297623,0.0817263126373291,5,"[1, 2, 6, 7, 8]"
8,0.7142857142857143,0.7203703703703703,0.7202965337607694,0.7200822998230956,0.048836708068847656,5,"[1, 2, 6, 7, 8]"
9,0.6842105263157895,0.7415384615384617,0.6885964912280701,0.7189736274183338,0.048836708068847656,5,"[1, 2, 6, 7, 8]"
10,0.618421052631579,0.6269230769230769,0.6281527789511232,0.6263447072560702,0.04983353614807129,5,"[1, 2, 6, 7, 8]"
