fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7681159420289855,0.7421052631578947,0.6190476190476191,0.7398435111918139,0.08163857460021973,1,[np.int64(8)]
2,0.7391304347826086,0.7578397212543554,0.7272727272727273,0.7513054840167139,0.15102124214172363,2,"[np.int64(8), np.int64(12)]"
3,0.782608695652174,0.8015873015873016,0.7619047619047619,0.7968190728895957,0.08167266845703125,2,"[np.int64(8), np.int64(12)]"
4,0.7971014492753623,0.8134920634920635,0.7741935483870968,0.8099905283919412,0.14993739128112793,2,"[np.int64(8), np.int64(12)]"
5,0.7681159420289855,0.7775891341256367,0.7714285714285715,0.7719619790596893,0.07004261016845703,2,"[np.int64(8), np.int64(12)]"
6,0.8115942028985508,0.8244773519163764,0.7936507936507936,0.8216368467966474,0.07527518272399902,2,"[np.int64(8), np.int64(12)]"
7,0.8260869565217391,0.8307692307692308,0.8125,0.8299933065325822,0.1439361572265625,2,"[np.int64(8), np.int64(12)]"
8,0.7101449275362319,0.7212837837837838,0.7368421052631579,0.7047138579747255,0.07052779197692871,1,[np.int64(8)]
9,0.8115942028985508,0.8121693121693122,0.7719298245614035,0.8121650035216528,0.16217279434204102,2,"[np.int64(8), np.int64(12)]"
10,0.7536231884057971,0.7782051282051282,0.7733333333333333,0.7550400453522118,0.1758131980895996,2,"[np.int64(8), np.int64(12)]"
