fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.9473684210526315,0.9571428571428571,0.9478698333639751,0.9561828874675149,0.15609407424926758,8,"[4, 11, 21, 22, 24, 25, 28, 29]"
2,0.9824561403508771,0.9857142857142857,0.9825239427070089,0.9856107606091623,0.1730201244354248,8,"[14, 21, 22, 24, 25, 27, 28, 29]"
3,0.9649122807017544,0.9623015873015873,0.9649122807017544,0.9622504486493763,0.10812187194824219,8,"[8, 14, 21, 22, 24, 25, 27, 29]"
4,0.9298245614035088,0.9047619047619048,0.92797783933518,0.8997354108424374,0.12498211860656738,8,"[7, 14, 21, 22, 24, 25, 28, 29]"
5,0.9824561403508771,0.9761904761904762,0.9823623542652152,0.9759000729485332,0.10938405990600586,8,"[14, 21, 22, 24, 25, 27, 28, 29]"
6,0.9824561403508771,0.9761904761904762,0.9823623542652152,0.9759000729485332,0.10936260223388672,8,"[4, 14, 22, 24, 25, 27, 28, 29]"
7,1.0,1.0,1.0,1.0,0.1423358917236328,8,"[8, 14, 21, 22, 24, 25, 27, 29]"
8,0.9473684210526315,0.9583333333333333,0.9479786422578186,0.9574271077563381,0.20310378074645996,8,"[4, 14, 22, 24, 25, 27, 28, 29]"
9,0.9649122807017544,0.9523809523809523,0.9645092460881936,0.9511897312113419,0.12498593330383301,8,"[14, 21, 22, 24, 25, 27, 28, 29]"
10,1.0,1.0,1.0,1.0,0.1115114688873291,8,"[7, 14, 21, 22, 24, 25, 28, 29]"
