fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6753246753246753,0.6453846153846154,0.6796916888454344,0.6397114734243629,0.14970946311950684,6,"[1, 2, 5, 6, 7, 8]"
2,0.5714285714285714,0.5684615384615385,0.5847246354914255,0.5683985600588051,0.19431066513061523,6,"[1, 2, 5, 6, 7, 8]"
3,0.6623376623376623,0.6876923076923077,0.6730068542568544,0.6838803314120883,0.14061737060546875,6,"[1, 2, 5, 6, 7, 8]"
4,0.6753246753246753,0.7076923076923077,0.6854269326179439,0.7016464154456233,0.14060306549072266,5,"[1, 2, 6, 7, 8]"
5,0.6753246753246753,0.7171945701357467,0.6828533785055524,0.7055051782666701,0.14266586303710938,6,"[1, 2, 5, 6, 7, 8]"
6,0.5844155844155844,0.6014328808446455,0.5954348681621409,0.5991446895152781,0.18747997283935547,6,"[1, 2, 5, 6, 7, 8]"
7,0.7012987012987013,0.6896681749622926,0.7067011483723367,0.6887372317211945,0.14060425758361816,6,"[1, 2, 5, 6, 7, 8]"
8,0.6052631578947368,0.603921568627451,0.6167048054919908,0.6039088361275575,0.1418907642364502,6,"[1, 2, 5, 6, 7, 8]"
9,0.7631578947368421,0.7725490196078432,0.7694134455728462,0.7720611577929232,0.14266180992126465,6,"[1, 2, 5, 6, 7, 8]"
10,0.6973684210526315,0.7337254901960784,0.7061985201731118,0.7259881703784241,0.1726388931274414,5,"[1, 2, 6, 7, 8]"
