fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6388888888888888,0.66875,0.6976744186046512,0.6123724356957945,0.03390932083129883,4,"[3, 5, 7, 9]"
2,0.8,0.7622377622377623,0.851063829787234,0.7479575920067658,0.034906625747680664,4,"[1, 3, 5, 7]"
3,0.7428571428571429,0.7250000000000001,0.7906976744186046,0.714142842854285,0.032912492752075195,4,"[1, 3, 5, 7]"
4,0.5714285714285714,0.5416666666666667,0.6666666666666666,0.5,0.03293943405151367,4,"[3, 5, 7, 31]"
5,0.6,0.5822368421052632,0.6818181818181818,0.5441071875825088,0.030893325805664062,4,"[1, 3, 5, 7]"
6,0.7428571428571429,0.6699999999999999,0.8235294117647058,0.648074069840786,0.030916929244995117,4,"[1, 3, 5, 7]"
7,0.6571428571428571,0.7,0.7142857142857143,0.6324555320336759,0.02894282341003418,4,"[1, 3, 5, 7]"
8,0.9428571428571428,0.9333333333333333,0.9523809523809523,0.9309493362512627,0.030896902084350586,4,"[1, 3, 5, 7]"
9,0.8285714285714286,0.73,0.8888888888888888,0.6928203230275509,0.029898881912231445,4,"[1, 3, 5, 7]"
10,0.8571428571428571,0.8214285714285714,0.8936170212765957,0.8017837257372732,0.03291177749633789,4,"[1, 3, 5, 7]"
