fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8571428571428571,0.875,0.8571428571428571,0.8660254037844386,0.3866279125213623,13,"[119, 249, 493, 765, 918, 988, 1411, 1423, 1482, 1644, 1668, 1895, 1909]"
2,0.6666666666666666,0.6666666666666667,0.6666666666666666,0.6666666666666666,0.34584975242614746,13,"[249, 377, 415, 493, 765, 988, 1423, 1482, 1644, 1668, 1909, 1967, 1976]"
3,0.6666666666666666,0.5,0.5333333333333333,0.0,0.4072749614715576,11,"[70, 119, 377, 493, 765, 1417, 1482, 1644, 1819, 1895, 1909]"
4,0.6666666666666666,0.5,0.5333333333333333,0.0,0.3770616054534912,11,"[119, 249, 493, 765, 988, 1423, 1482, 1644, 1668, 1892, 1976]"
5,0.8333333333333334,0.75,0.8148148148148148,0.7071067811865476,0.34371352195739746,10,"[249, 377, 493, 765, 988, 1482, 1668, 1895, 1909, 1976]"
6,0.6666666666666666,0.625,0.6666666666666666,0.6123724356957945,0.34568309783935547,11,"[119, 249, 377, 765, 988, 1411, 1482, 1644, 1668, 1895, 1909]"
7,0.6666666666666666,0.625,0.6666666666666666,0.6123724356957945,0.37626123428344727,16,"[119, 249, 286, 377, 493, 523, 554, 765, 988, 1087, 1411, 1423, 1644, 1668, 1836, 1909]"
8,0.6666666666666666,0.75,0.6666666666666666,0.7071067811865476,0.34377288818359375,12,"[70, 119, 493, 765, 1280, 1417, 1423, 1482, 1644, 1668, 1836, 1976]"
9,0.6666666666666666,0.625,0.6666666666666666,0.6123724356957945,0.4083290100097656,13,"[70, 167, 249, 493, 765, 897, 988, 1417, 1482, 1644, 1668, 1909, 1976]"
10,1.0,1.0,1.0,1.0,0.3613736629486084,14,"[119, 249, 377, 493, 765, 988, 1411, 1482, 1644, 1668, 1836, 1895, 1909, 1976]"
