fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6129032258064516,0.6029411764705881,0.6087675765095119,0.5940885257860046,0.020999431610107422,7,"[np.int64(1), np.int64(2), np.int64(3), np.int64(9), np.int64(10), np.int64(11), np.int64(13)]"
2,0.8064516129032258,0.8309523809523808,0.8123938879456706,0.828078671210825,0.02099919319152832,7,"[np.int64(1), np.int64(3), np.int64(9), np.int64(10), np.int64(11), np.int64(12), np.int64(13)]"
3,0.6333333333333333,0.6383928571428572,0.6321097515758249,0.6338656910463875,0.02300095558166504,6,"[np.int64(1), np.int64(2), np.int64(3), np.int64(9), np.int64(11), np.int64(13)]"
4,0.7333333333333333,0.7083333333333335,0.7282296650717704,0.6972166887783964,0.02059650421142578,6,"[np.int64(1), np.int64(2), np.int64(3), np.int64(9), np.int64(11), np.int64(13)]"
5,0.7333333333333333,0.736111111111111,0.7357466063348416,0.7359800721939872,0.019999980926513672,7,"[np.int64(1), np.int64(2), np.int64(3), np.int64(9), np.int64(10), np.int64(11), np.int64(13)]"
6,0.6333333333333333,0.611111111111111,0.6303172737955347,0.6009252125773316,0.01999950408935547,7,"[np.int64(1), np.int64(2), np.int64(3), np.int64(9), np.int64(10), np.int64(11), np.int64(13)]"
7,0.8666666666666667,0.8755980861244019,0.8685185185185186,0.8749572785196141,0.020000457763671875,7,"[np.int64(1), np.int64(2), np.int64(3), np.int64(9), np.int64(10), np.int64(11), np.int64(13)]"
8,0.7,0.7222222222222223,0.7016685205784206,0.7136240321480628,0.05200052261352539,7,"[np.int64(1), np.int64(2), np.int64(3), np.int64(9), np.int64(10), np.int64(11), np.int64(13)]"
9,0.7,0.715909090909091,0.7164835164835165,0.7150969419341943,0.01999974250793457,7,"[np.int64(1), np.int64(2), np.int64(3), np.int64(9), np.int64(10), np.int64(11), np.int64(13)]"
10,0.7,0.7083333333333334,0.7030303030303031,0.7071067811865476,0.029000520706176758,7,"[np.int64(1), np.int64(2), np.int64(3), np.int64(9), np.int64(10), np.int64(11), np.int64(13)]"
