fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8055555555555556,0.7941176470588236,0.7954732510288065,0.7669649888473704,0.09100008010864258,3,"[1, 3, 5]"
2,0.8285714285714286,0.8095238095238095,0.8258741258741259,0.8039020483873397,0.11365556716918945,3,"[1, 3, 5]"
3,0.8571428571428571,0.8333333333333334,0.8507936507936508,0.816496580927726,0.0870199203491211,3,"[1, 3, 5]"
4,0.6857142857142857,0.6759868421052632,0.680956385918539,0.666392487478979,0.15703868865966797,3,"[1, 3, 5]"
5,0.7714285714285715,0.738095238095238,0.7623188405797101,0.7190318509781667,0.10604333877563477,3,"[1, 3, 5]"
6,0.8,0.71,0.7880133185349611,0.6782329983125268,0.108001708984375,3,"[1, 3, 5]"
7,0.8285714285714286,0.8235294117647058,0.8224489795918367,0.8043996665398437,0.09900045394897461,3,"[1, 3, 5]"
8,0.8857142857142857,0.8823529411764706,0.8838095238095238,0.8744746321952062,0.11699986457824707,3,"[1, 3, 5]"
9,0.8285714285714286,0.7272727272727273,0.8059523809523809,0.674199862463242,0.10899996757507324,3,"[1, 5, 8]"
10,0.8857142857142857,0.8532608695652174,0.8829004329004329,0.8469895538599199,0.10699987411499023,3,"[1, 5, 16]"
