fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8064516129032258,0.8012820512820513,0.8064516129032258,0.8006407690254357,0.06049633026123047,4,"[3, 9, 12, 13]"
2,0.7096774193548387,0.717948717948718,0.7114976236222066,0.7161148740394329,0.04226231575012207,4,"[3, 9, 12, 13]"
3,0.7419354838709677,0.7564102564102566,0.743010752688172,0.7510676161988108,0.1249852180480957,4,"[3, 9, 12, 13]"
4,0.7666666666666667,0.7916666666666667,0.7679644048943269,0.7817359599705715,0.04686999320983887,4,"[2, 9, 12, 13]"
5,0.6,0.5555555555555556,0.58,0.5091750772173156,0.10170269012451172,4,"[3, 9, 12, 13]"
6,0.8333333333333334,0.8194444444444443,0.8319623971797886,0.816496580927726,0.05585479736328125,4,"[3, 9, 12, 13]"
7,0.7333333333333333,0.736111111111111,0.7357466063348416,0.7359800721939872,0.04687070846557617,4,"[2, 9, 12, 13]"
8,0.7333333333333333,0.7638888888888888,0.7333333333333333,0.7484551991837489,0.1249854564666748,4,"[3, 9, 12, 13]"
9,0.7666666666666667,0.763888888888889,0.768,0.7637626158259734,0.046869516372680664,4,"[3, 9, 12, 13]"
10,0.7666666666666667,0.7669683257918551,0.7674523007856341,0.7669649888473704,0.09467697143554688,4,"[3, 9, 12, 13]"
