fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.9298245614035088,0.9038461538461539,0.9286377708978327,0.9010914559387476,0.2260901927947998,12,"[8, 9, 10, 14, 20, 21, 22, 24, 25, 27, 28, 29]"
2,0.9473684210526315,0.9454094292803971,0.9472701361246252,0.9451456227158638,0.10705232620239258,12,"[3, 6, 10, 14, 17, 21, 22, 23, 24, 27, 28, 29]"
3,0.8596491228070176,0.851948051948052,0.8596491228070176,0.8512786410308464,0.0989985466003418,12,"[1, 3, 9, 10, 14, 17, 21, 22, 23, 24, 27, 28]"
4,0.8947368421052632,0.8931623931623932,0.8961218836565096,0.8931521694094449,0.09299874305725098,12,"[1, 6, 10, 11, 14, 17, 21, 22, 23, 24, 27, 28]"
5,0.8947368421052632,0.8911764705882352,0.8963112910481332,0.8911327886790068,0.09900307655334473,12,"[6, 7, 9, 10, 14, 17, 21, 22, 23, 24, 28, 29]"
6,0.8771929824561403,0.873125,0.8768845189897821,0.8724964183307574,0.08100342750549316,12,"[3, 7, 10, 14, 17, 21, 22, 24, 27, 28, 29, 30]"
7,0.8421052631578947,0.8157894736842105,0.840996840996841,0.8119604537127111,0.0840001106262207,12,"[6, 7, 9, 10, 14, 17, 21, 22, 23, 24, 27, 28]"
8,0.8596491228070176,0.8554590570719602,0.8590350877192983,0.8541244265211884,0.1679997444152832,12,"[1, 3, 6, 10, 14, 17, 21, 22, 23, 24, 27, 28]"
9,0.9298245614035088,0.9310344827586207,0.92956465237167,0.9284766908852593,0.10100364685058594,12,"[3, 6, 10, 14, 17, 21, 22, 23, 24, 27, 28, 29]"
10,0.8928571428571429,0.861111111111111,0.8897243107769423,0.8539125638299665,0.21705365180969238,12,"[6, 9, 14, 15, 20, 21, 22, 24, 25, 27, 28, 30]"
