fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7096774193548387,0.7072649572649573,0.7109062980030721,0.7071067811865476,0.014000415802001953,1,[np.int64(10)]
2,0.7419354838709677,0.7394957983193278,0.7419354838709677,0.7390659560519331,0.01699995994567871,1,[np.int64(13)]
3,0.6774193548387096,0.6794871794871796,0.6794524261317431,0.6793662204867574,0.015999794006347656,1,[np.int64(13)]
4,0.6666666666666666,0.6787330316742082,0.6666666666666666,0.6726727939963125,0.0456082820892334,1,[np.int64(10)]
5,0.6666666666666666,0.6666666666666667,0.6651785714285715,0.6633249580710799,0.01399993896484375,1,[np.int64(13)]
6,0.8,0.8229665071770336,0.8036199095022625,0.8184475910711347,0.014999866485595703,1,[np.int64(13)]
7,0.5,0.47222222222222227,0.49588719153936545,0.45133546692422005,0.013999700546264648,1,[np.int64(10)]
8,0.8,0.8194444444444444,0.8017857142857143,0.8136565842153783,0.01399993896484375,1,[np.int64(13)]
9,0.7,0.6527777777777778,0.6788189987163029,0.6085806194501846,0.0149993896484375,1,[np.int64(13)]
10,0.7,0.6719457013574661,0.6835164835164835,0.6381534447172755,0.015000343322753906,1,[np.int64(10)]
