fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.8888888888888888,0.8666666666666667,0.9130434782608695,0.8563488385776752,0.07082509994506836,13,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 15, 21, 25, 31]"
2,0.8857142857142857,0.8461538461538461,0.9166666666666666,0.8320502943378437,0.06582427024841309,11,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 15, 25]"
3,0.9142857142857143,0.8882575757575758,0.9387755102040817,0.8854890790353708,0.06682109832763672,10,"[1, 3, 4, 5, 6, 7, 8, 10, 21, 25]"
4,0.8,0.7857142857142858,0.8372093023255814,0.7824607964359516,0.06582379341125488,12,"[1, 3, 5, 6, 7, 8, 9, 10, 18, 25, 29, 31]"
5,0.8,0.7481884057971013,0.8571428571428571,0.7298004491997617,0.06978702545166016,12,"[1, 3, 4, 5, 6, 7, 8, 10, 15, 21, 25, 31]"
6,0.8285714285714286,0.7756410256410258,0.8846153846153846,0.7679476477883044,0.06784534454345703,11,"[1, 3, 4, 5, 6, 7, 8, 10, 15, 18, 25]"
7,0.8857142857142857,0.875,0.9047619047619048,0.8660254037844386,0.06783795356750488,10,"[1, 3, 4, 5, 6, 7, 8, 10, 25, 31]"
8,0.9714285714285714,0.9642857142857143,0.9767441860465116,0.9636241116594315,0.06681156158447266,11,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 18, 25]"
9,0.8857142857142857,0.8181818181818181,0.9230769230769231,0.7977240352174656,0.10571813583374023,7,"[1, 3, 5, 7, 8, 10, 25]"
10,0.9142857142857143,0.8882575757575758,0.9387755102040817,0.8854890790353708,0.06684136390686035,11,"[1, 3, 4, 5, 7, 8, 10, 15, 21, 25, 31]"
