fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7012987012987013,0.6677777777777778,0.5660377358490566,0.6582805886043833,0.008976221084594727,4,"[1, 2, 6, 8]"
2,0.8051948051948052,0.770408163265306,0.7058823529411765,0.7597759375096443,0.007978439331054688,4,"[1, 2, 6, 8]"
3,0.7142857142857143,0.6534615384615384,0.5217391304347826,0.6300183147521006,0.00797891616821289,4,"[1, 2, 6, 8]"
4,0.8311688311688312,0.759090909090909,0.6666666666666666,0.7402255631208102,0.006981611251831055,4,"[1, 2, 6, 8]"
5,0.8181818181818182,0.7806122448979592,0.72,0.7683612488578245,0.005982875823974609,4,"[1, 2, 6, 8]"
6,0.6623376623376623,0.6287878787878788,0.5,0.5832841380278836,0.005988597869873047,4,"[1, 2, 6, 8]"
7,0.8441558441558441,0.8118518518518519,0.76,0.8046163106769633,0.00700831413269043,4,"[1, 2, 6, 8]"
8,0.7792207792207793,0.6723684210526315,0.5142857142857142,0.6345325672866354,0.007999181747436523,4,"[1, 2, 6, 8]"
9,0.6710526315789473,0.6369175627240143,0.5283018867924528,0.6093653787954744,0.007954835891723633,4,"[1, 2, 6, 8]"
10,0.7894736842105263,0.7369614512471655,0.6521739130434783,0.7142857142857143,0.005980730056762695,4,"[1, 2, 6, 8]"
