fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.5454545454545454,0.5284615384615384,0.4067796610169492,0.5262348115842175,0.28223299980163574,2,"[2, 8]"
2,0.6493506493506493,0.6598793363499246,0.5714285714285714,0.6590820436573076,0.21668529510498047,2,"[1, 2]"
3,0.5844155844155844,0.5570175438596491,0.38461538461538464,0.5540916385036406,0.2132244110107422,2,"[1, 2]"
4,0.7142857142857143,0.7157692307692307,0.6206896551724138,0.7157567270432688,0.2182908058166504,2,"[1, 2]"
5,0.7012987012987013,0.6846491228070175,0.5306122448979592,0.683771789158578,0.2132251262664795,2,"[2, 6]"
6,0.6233766233766234,0.6136363636363638,0.5538461538461539,0.6098367211363063,0.22049856185913086,2,"[1, 2]"
7,0.6493506493506493,0.6322916666666667,0.5573770491803278,0.6241661103691335,0.2822394371032715,2,"[2, 6]"
8,0.6578947368421053,0.6602564102564102,0.5517241379310345,0.6602252917735247,0.22280049324035645,2,"[2, 8]"
9,0.6447368421052632,0.6730769230769231,0.5714285714285714,0.6686668711812965,0.228196382522583,2,"[1, 2]"
10,0.6710526315789473,0.6698717948717949,0.5614035087719298,0.6698641270570836,0.22170376777648926,2,"[2, 6]"
