fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.7681159420289855,0.7421052631578947,0.6190476190476191,0.7398435111918139,0.07700538635253906,1,[np.int64(8)]
2,0.7391304347826086,0.7578397212543554,0.7272727272727273,0.7513054840167139,0.07686948776245117,1,[np.int64(8)]
3,0.782608695652174,0.8015873015873016,0.7619047619047619,0.7968190728895957,0.13306403160095215,1,[np.int64(8)]
4,0.7971014492753623,0.8134920634920635,0.7741935483870968,0.8099905283919412,0.07871198654174805,1,[np.int64(8)]
5,0.7681159420289855,0.7775891341256367,0.7714285714285715,0.7719619790596893,0.1469416618347168,1,[np.int64(8)]
6,0.8115942028985508,0.8244773519163764,0.7936507936507936,0.8216368467966474,0.08623194694519043,1,[np.int64(8)]
7,0.8405797101449275,0.8435897435897435,0.8253968253968254,0.8432740427115678,0.1246945858001709,1,[np.int64(8)]
8,0.7101449275362319,0.7212837837837838,0.7368421052631579,0.7047138579747255,0.11091446876525879,1,[np.int64(8)]
9,0.8115942028985508,0.8121693121693122,0.7719298245614035,0.8121650035216528,0.14174652099609375,1,[np.int64(8)]
10,0.7536231884057971,0.7782051282051282,0.7733333333333333,0.7550400453522118,0.0754859447479248,1,[np.int64(8)]
