fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6774193548387096,0.6617647058823529,0.6675155631013016,0.6416889479197478,0.016002416610717773,2,"[np.int64(9), np.int64(13)]"
2,0.8064516129032258,0.8309523809523808,0.8123938879456706,0.828078671210825,0.01799917221069336,2,"[np.int64(9), np.int64(13)]"
3,0.6,0.6071428571428572,0.5964285714285714,0.5976143046671968,0.016869068145751953,2,"[np.int64(9), np.int64(13)]"
4,0.7333333333333333,0.7083333333333335,0.7282296650717704,0.6972166887783964,0.017000436782836914,2,"[np.int64(9), np.int64(13)]"
5,0.7333333333333333,0.736111111111111,0.7357466063348416,0.7359800721939872,0.01600027084350586,3,"[np.int64(3), np.int64(9), np.int64(13)]"
6,0.6333333333333333,0.611111111111111,0.6303172737955347,0.6009252125773316,0.015000104904174805,2,"[np.int64(9), np.int64(13)]"
7,0.8333333333333334,0.8301435406698565,0.8347042694868783,0.8300573566392896,0.016000032424926758,2,"[np.int64(9), np.int64(13)]"
8,0.6666666666666666,0.6944444444444444,0.6666666666666666,0.6804138174397717,0.016000032424926758,2,"[np.int64(9), np.int64(13)]"
9,0.7333333333333333,0.7386363636363636,0.7466666666666667,0.7385489458759964,0.01600050926208496,3,"[np.int64(3), np.int64(10), np.int64(13)]"
10,0.6666666666666666,0.6666666666666667,0.669683257918552,0.6666666666666666,0.01600027084350586,3,"[np.int64(3), np.int64(9), np.int64(13)]"
