fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.6623376623376623,0.6719001610305958,0.6761643528884909,0.6714802069137799,0.3307950496673584,2,"[2, 8]"
2,0.6623376623376623,0.669683257918552,0.6712172820167209,0.6693009793097403,0.28099989891052246,2,"[1, 2]"
3,0.6103896103896104,0.5583333333333333,0.6281548640039206,0.5477225575051661,0.27900004386901855,2,"[1, 2]"
4,0.7012987012987013,0.7165384615384616,0.7105656550394784,0.7152191702817128,0.28996706008911133,2,"[1, 2]"
5,0.7662337662337663,0.8088512241054615,0.7832267732267731,0.8048815285201412,0.28463196754455566,2,"[1, 2]"
6,0.6363636363636364,0.6297872340425532,0.6396464646464647,0.6290824118118895,0.2839996814727783,2,"[1, 2]"
7,0.6753246753246753,0.6617021276595744,0.6762403822160565,0.6588190595235458,0.33804774284362793,2,"[2, 6]"
8,0.6710526315789473,0.6576923076923077,0.6768236380424746,0.6563301233138936,0.2719995975494385,2,"[2, 8]"
9,0.631578947368421,0.6599326599326599,0.6486651411136537,0.6564879518897746,0.2780001163482666,2,"[1, 2]"
10,0.6447368421052632,0.6515151515151515,0.6629161939525477,0.6513389472789296,0.27600884437561035,2,"[2, 8]"
