fold,accuracy,auc,f1_score,g_mean,train_time,num_features,selected_features
1,0.855072463768116,0.8535714285714286,0.7727272727272727,0.8535639569308374,0.07896757125854492,1,[np.int64(8)]
2,0.7971014492753623,0.8201058201058202,0.78125,0.8132500607904444,0.15366315841674805,1,[np.int64(8)]
3,0.7971014492753623,0.8322727272727273,0.7741935483870968,0.8224133002108103,0.07877969741821289,1,[np.int64(8)]
4,0.8115942028985508,0.8336314847942755,0.7868852459016393,0.8288190188519647,0.15271353721618652,1,[np.int64(8)]
5,0.8115942028985508,0.8256410256410256,0.8115942028985508,0.8185874846865606,0.07879352569580078,2,"[np.int64(8), np.int64(12)]"
6,0.855072463768116,0.8743386243386242,0.8387096774193549,0.8698354767504924,0.15312528610229492,1,[np.int64(8)]
7,0.8405797101449275,0.8482758620689657,0.8253968253968254,0.8469010445797932,0.07449150085449219,1,[np.int64(8)]
8,0.7246376811594203,0.7487179487179487,0.7466666666666667,0.7256002525466254,0.15606451034545898,1,[np.int64(8)]
9,0.7681159420289855,0.775,0.7142857142857143,0.7745966692414834,0.17629218101501465,1,[np.int64(8)]
10,0.8260869565217391,0.8281512605042017,0.8461538461538461,0.8158101608140186,0.07626581192016602,1,[np.int64(8)]
